,product_name,old_price,new_price,installment_price,timestamp
0,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,11999,13332,2025-06-25 13:51:14
1,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,11999,13332,2025-06-25 13:51:24
2,Apple iPhone 16 Pro (1 TB) - Titânio-preto - Distribuidor Autorizado,14299,11999,13332,2025-06-25 13:51:35
